learner_id,gender,age,education_level,course_type,learning_mode,region,device_type,study_hours_per_week,videos_watched,forum_posts,assignments_completed_score,quiz_score,engagement_score,final_score,participation_level,completion_status,performance_category
LRN00059,Male,32,Graduate,AI Fundamentals,Instructor-led,Other,Laptop,8.1,18 videos,0,79.5,72.4,65.2,59.6009588,Medium,Not Completed,Good
LRN00060,Male,19,Undergraduate,Programming,Blended,Alexandria,Mobile,4.8,14 videos,4,68.8,71.2,59.3,65.55169416,Medium,Completed,Very Good
LRN00061,Female,20,Undergraduate,Business,Self-paced,Upper Egypt,Mobile,4.3,10 videos,1,51.7,74.8,40.3,48.81775877,Low,Not Completed,Needs Support
LRN00062,Female,29,Graduate,Data Analysis,Self-paced,Giza,Laptop,9.7,29 videos,5,96.6,77.1,74.5,71.75184554,High,Completed,Very Good
LRN00063,Female,28,Undergraduate,Data Analysis,Self-paced,Alexandria,Laptop,2.9,9 videos,2,29.4,67.3,22,30.02281427,Low,Not Completed,Needs Support
LRN00064,Male,30,Undergraduate,Data Analysis,Instructor-led,Delta,Laptop,12.3,29 videos,7,82.3,100,97.8,82.65891636,High,Completed,Excellent
LRN00065,Male,31,Undergraduate,Data Analysis,Instructor-led,Delta,Mobile,4.9,15 videos,3,62.7,59.4,64.3,58.04951215,Medium,Not Completed,Good
LRN00066,Female,22,Undergraduate,Programming,Self-paced,Alexandria,Mobile,6.9,21 videos,3,66.3,84.9,77.6,70.30775739,High,Completed,Very Good
LRN00067,Female,29,Graduate,Business,Blended,Alexandria,Laptop,11.8,27 videos,2,88.6,91.1,83.6,84.25049649,High,Completed,Excellent
LRN00068,Male,16,Graduate,AI Fundamentals,Blended,Other,Mobile,4.1,16 videos,1,58.1,60.8,52.5,43.56701462,Medium,Not Completed,Needs Support
LRN00069,Male,30,Undergraduate,Data Analysis,Self-paced,Delta,Mobile,2.5,9 videos,3,53.3,61.1,43.1,39.23191158,Medium,Not Completed,Needs Support
LRN00070,Male,27,Undergraduate,Business,Instructor-led,Alexandria,Laptop,10.2,31 videos,3,84.5,95.5,85.6,85.49717861,High,Completed,Excellent
LRN00071,Male,30,Undergraduate,Programming,Self-paced,Alexandria,Mobile,7.1,28 videos,4,92.5,77.6,74.9,75.0763707,High,Completed,Very Good
LRN00072,Male,36,High School,Business,Blended,Delta,Mobile,5.2,27 videos,5,79.8,86.1,82.8,69.51268619,High,Completed,Very Good
LRN00073,Female,18,High School,Programming,Blended,Cairo,Mobile,5.2,30 videos,8,73.6,82.3,94,74.43020134,High,Completed,Very Good
LRN00074,Female,28,High School,Business,Self-paced,Cairo,Laptop,3.6,25 videos,2,70.7,77.8,69.2,55.61001814,High,Not Completed,Good
LRN00075,Female,39,High School,Programming,Self-paced,Cairo,Laptop,2.9,22 videos,0,73.7,64.1,56.9,48.33765946,Medium,Not Completed,Needs Support
LRN00076,Male,20,Undergraduate,Design,Self-paced,Alexandria,Mobile,4.8,20 videos,2,72.7,72.3,58.8,50.99269424,Medium,Not Completed,Good
LRN00077,Male,19,Undergraduate,Data Analysis,Blended,Giza,Mobile,9.2,26 videos,5,74.3,81.2,90.8,74.32235217,High,Completed,Very Good
LRN00078,Female,25,Undergraduate,Data Analysis,Instructor-led,Cairo,Laptop,8.1,16 videos,2,67.2,88.9,75,70.47858937,Medium,Completed,Very Good
LRN00079,Female,26,Graduate,Programming,Blended,Upper Egypt,Tablet,8.7,24 videos,5,85.8,100,79.9,76.7779174,High,Completed,Very Good
LRN00080,Male,30,High School,Programming,Blended,Delta,Mobile,6,31 videos,4,86.5,94,89.7,73.36303695,High,Completed,Very Good
LRN00081,Male,29,Graduate,Business,Self-paced,Giza,Tablet,7.1,19 videos,7,67.3,81.3,72.4,77.51274302,High,Completed,Very Good
LRN00082,Male,26,Graduate,Programming,Self-paced,Giza,Mobile,2,7 videos,1,62.1,67.8,34.2,46.39934503,Low,Not Completed,Needs Support
LRN00083,Male,34,High School,AI Fundamentals,Self-paced,Delta,Mobile,1,13 videos,4,41.8,51.9,39.6,44.27533507,Low,Not Completed,Needs Support
LRN00084,Male,29,Undergraduate,AI Fundamentals,Blended,Cairo,Mobile,8.5,23 videos,3,74.6,80.8,64.1,65.81825783,Medium,Completed,Very Good
LRN00085,Female,25,Undergraduate,AI Fundamentals,Blended,Giza,Mobile,8,26 videos,6,100,91.8,94,79.82643646,High,Completed,Very Good
LRN00086,Female,26,Graduate,Business,Instructor-led,Cairo,Laptop,8.6,29 videos,2,75,94.1,74.2,80.48829755,Medium,Completed,Excellent
LRN00087,Female,22,Professional,Programming,Blended,Other,Mobile,4.5,17 videos,4,40.7,45.9,45.6,42.9098206,Medium,Not Completed,Needs Support
LRN00088,Female,22,Undergraduate,Data Analysis,Blended,Giza,Mobile,1,12 videos,1,55.2,49.1,29.1,37.48445489,Low,Not Completed,Needs Support
LRN00089,Male,22,Professional,AI Fundamentals,Blended,Giza,Laptop,4.9,12 videos,3,42.9,61.1,30.8,47.85857056,Low,Not Completed,Needs Support
LRN00090,Female,37,Undergraduate,Programming,Self-paced,Delta,Laptop,5.8,16 videos,3,65.2,67.3,54.3,67.95653258,Medium,Completed,Very Good
LRN00091,Male,31,Undergraduate,AI Fundamentals,Instructor-led,Delta,Laptop,9.7,22 videos,6,78.7,75.1,89.9,68.03823317,High,Completed,Very Good
LRN00092,Female,20,Undergraduate,Data Analysis,Self-paced,Alexandria,Mobile,5.5,22 videos,4,59.6,54.1,63.4,53.27368323,Medium,Not Completed,Good
LRN00093,Female,38,Graduate,Programming,Self-paced,Cairo,Laptop,7.7,22 videos,6,75.1,89.9,75.7,69.49394918,High,Completed,Very Good
LRN00094,Female,26,Undergraduate,Programming,Instructor-led,Cairo,Mobile,5.5,19 videos,5,62.1,66.1,84.7,55.3272949,High,Not Completed,Good
LRN00095,Female,34,Undergraduate,Programming,Blended,Cairo,Laptop,5.2,12 videos,3,53.8,66.8,53.5,46.87866607,Medium,Not Completed,Needs Support
LRN00096,Female,37,Graduate,Data Analysis,Instructor-led,Other,Laptop,14.1,36 videos,6,100,99.5,100,99.06666573,High,Completed,Excellent
LRN00097,Male,26,Graduate,Data Analysis,Self-paced,Upper Egypt,Mobile,7.3,25 videos,4,62.6,71.3,65.1,50.34119696,Medium,Not Completed,Good
LRN00098,Female,31,Undergraduate,Business,Self-paced,Giza,Mobile,3.7,19 videos,2,53.2,64.7,51.1,51.66429679,Medium,Not Completed,Good
LRN00099,Female,34,High School,AI Fundamentals,Self-paced,Upper Egypt,Mobile,1,20 videos,2,60.1,50.4,47.6,38.85878461,Medium,Not Completed,Needs Support
LRN00100,Female,22,Graduate,Programming,Self-paced,Cairo,Mobile,5.5,24 videos,9,67.6,68.2,73.7,68.77247476,High,Completed,Very Good
LRN00101,Female,25,Undergraduate,AI Fundamentals,Instructor-led,Cairo,Laptop,12.2,41 videos,2,100,100,100,88.39461676,High,Completed,Excellent
LRN00102,Male,31,Undergraduate,Programming,Instructor-led,Upper Egypt,Laptop,9,20 videos,2,89.6,92.3,78.1,75.70496163,High,Completed,Very Good
LRN00103,Female,27,Undergraduate,Programming,Instructor-led,Cairo,Mobile,6.9,23 videos,3,65.4,70.9,78,70.13254652,High,Completed,Very Good
LRN00104,Female,28,Graduate,Data Analysis,Instructor-led,Cairo,Laptop,9.2,26 videos,7,69.2,82.9,81.4,74.33900041,High,Completed,Very Good
LRN00105,Female,28,Graduate,Programming,Self-paced,Giza,Mobile,4.1,16 videos,4,51.1,57,49.8,48.73613492,Medium,Not Completed,Needs Support
LRN00106,Male,35,Professional,Programming,Blended,Cairo,Laptop,12.7,33 videos,5,95.7,94,91.4,89.29405978,High,Completed,Excellent
LRN00107,Male,21,High School,Design,Blended,Alexandria,Laptop,6.6,23 videos,4,78.2,81.3,74.7,62.80863206,High,Completed,Good
LRN00108,Male,31,Undergraduate,Design,Self-paced,Alexandria,Mobile,3.2,15 videos,2,61.4,60.5,52.1,53.21356603,Medium,Not Completed,Good
LRN00109,Female,29,High School,Data Analysis,Blended,Cairo,Mobile,6.2,31 videos,3,80.3,82.9,86.1,70.27472893,High,Completed,Very Good
LRN00110,Female,28,Graduate,Design,Instructor-led,Cairo,Laptop,10.7,23 videos,2,79.4,100,81.9,81.5946235,High,Completed,Excellent
LRN00111,Female,24,High School,AI Fundamentals,Self-paced,Cairo,Laptop,1,11 videos,0,34.5,56.5,22.2,36.06276463,Low,Not Completed,Needs Support
LRN00112,Male,30,Undergraduate,Data Analysis,Instructor-led,Alexandria,Mobile,5.8,17 videos,1,87.9,65.4,76.9,59.33245458,Medium,Not Completed,Good
LRN00113,Female,31,Undergraduate,Business,Self-paced,Giza,Laptop,7.4,25 videos,1,63.4,81.2,61.1,65.37911298,Medium,Completed,Very Good
LRN00114,Male,24,Undergraduate,Data Analysis,Blended,Giza,Laptop,9.6,25 videos,4,79,100,72.3,75.95821355,High,Completed,Very Good
LRN00115,Female,33,Undergraduate,Data Analysis,Self-paced,Cairo,Mobile,1,5 videos,2,35.7,44.1,13.8,21.72039277,Low,Not Completed,Needs Support
LRN00116,Male,33,Undergraduate,AI Fundamentals,Self-paced,Alexandria,Tablet,8.7,25 videos,6,85.2,71.8,76.2,67.89717097,High,Completed,Very Good
LRN00117,Male,16,Undergraduate,Data Analysis,Self-paced,Cairo,Laptop,7.8,18 videos,5,77.5,86,68.8,69.57512557,High,Completed,Very Good
LRN00118,Male,31,Undergraduate,Design,Blended,Cairo,Laptop,7.5,18 videos,6,56.4,80.2,63.5,63.83815946,Medium,Completed,Good
LRN00119,Female,29,Graduate,Data Analysis,Blended,Alexandria,Mobile,4.2,24 videos,3,46.7,68.5,50.8,37.22854481,Medium,Not Completed,Needs Support
LRN00120,Female,16,Undergraduate,AI Fundamentals,Self-paced,Giza,Laptop,9.8,26 videos,4,69,78,81.2,70.57068115,High,Completed,Very Good
LRN00121,Male,27,High School,Design,Self-paced,Delta,Laptop,6.3,28 videos,2,90.4,80.1,72.5,67.61569972,High,Completed,Very Good
LRN00122,Female,29,High School,Data Analysis,Instructor-led,Giza,Laptop,2.9,17 videos,1,50.7,71.2,55.5,55.06436723,Medium,Not Completed,Good
LRN00123,Male,23,Undergraduate,AI Fundamentals,Self-paced,Cairo,Laptop,12.4,35 videos,6,92.5,97,97,86.38566927,High,Completed,Excellent
LRN00124,Female,30,Graduate,Programming,Self-paced,Cairo,Mobile,6.9,24 videos,5,67.1,79.3,67,61.78309248,High,Completed,Good
LRN00125,Female,19,High School,Design,Self-paced,Upper Egypt,Laptop,4.3,24 videos,4,73.1,77.4,56.2,59.15749802,Medium,Not Completed,Good
LRN00126,Female,27,Undergraduate,Programming,Instructor-led,Giza,Mobile,3.4,13 videos,1,33.9,57.2,39.4,40.76204871,Low,Not Completed,Needs Support
LRN00127,Male,17,Professional,AI Fundamentals,Self-paced,Upper Egypt,Laptop,8.5,28 videos,2,95.1,80.9,71.8,77.78954704,High,Completed,Very Good
LRN00128,Female,16,High School,Programming,Self-paced,Cairo,Mobile,4,19 videos,2,75.7,69,64.3,54.67944351,Medium,Not Completed,Good
LRN00129,Female,23,Graduate,Data Analysis,Blended,Upper Egypt,Mobile,7,21 videos,4,77.5,81.4,76.7,67.0867007,High,Completed,Very Good
LRN00130,Female,38,Undergraduate,Data Analysis,Blended,Other,Mobile,7.5,26 videos,3,73.4,91.9,70.6,77.98173025,High,Completed,Very Good
LRN00131,Male,22,Graduate,Business,Blended,Cairo,Laptop,10.4,34 videos,5,100,88.5,81.8,78.84944153,High,Completed,Very Good
LRN00132,Female,26,Undergraduate,Programming,Instructor-led,Cairo,Laptop,8.7,23 videos,2,68.2,83.8,68.2,68.81624865,Medium,Completed,Very Good
LRN00133,Male,25,High School,AI Fundamentals,Self-paced,Cairo,Mobile,1,9 videos,3,69.2,55.2,40.3,39.30904031,Low,Not Completed,Needs Support
LRN00134,Female,24,Undergraduate,Design,Instructor-led,Other,Laptop,11.7,24 videos,5,95.5,96.8,100,78.54246354,High,Completed,Very Good
LRN00135,Male,16,Undergraduate,AI Fundamentals,Blended,Cairo,Mobile,4.9,21 videos,3,51.6,65.2,48.4,44.11897567,Medium,Not Completed,Needs Support
LRN00136,Male,19,Undergraduate,Programming,Self-paced,Giza,Laptop,9,25 videos,7,83.7,84.9,65.8,67.55053972,Medium,Completed,Very Good
LRN00137,Male,46,Graduate,Business,Instructor-led,Other,Laptop,11.2,27 videos,2,82.8,99.7,92.3,88.21455582,High,Completed,Excellent
LRN00138,Male,32,Undergraduate,Data Analysis,Self-paced,Upper Egypt,Tablet,6.3,18 videos,4,60.1,74,55.7,62.85263131,Medium,Completed,Good
LRN00139,Female,37,High School,Programming,Instructor-led,Cairo,Mobile,1,17 videos,5,47.4,73.3,53.8,39.43839847,Medium,Not Completed,Needs Support
LRN00140,Male,26,Graduate,Programming,Self-paced,Cairo,Laptop,9.1,27 videos,2,83.5,97.4,67.3,72.9987743,High,Completed,Very Good
LRN00141,Male,27,High School,Business,Self-paced,Cairo,Tablet,3.3,20 videos,1,61.7,59.3,53.7,53.04894699,Medium,Not Completed,Good
LRN00142,Female,28,Undergraduate,Design,Self-paced,Cairo,Mobile,2.4,9 videos,3,46.2,48.4,47.9,39.46323438,Medium,Not Completed,Needs Support
LRN00143,Male,27,High School,AI Fundamentals,Instructor-led,Cairo,Mobile,2.7,23 videos,4,64.5,73.1,72,65.79279233,Medium,Completed,Very Good
LRN00144,Female,39,Undergraduate,Design,Self-paced,Upper Egypt,Mobile,1,12 videos,3,29.8,48.4,20,32.55750471,Low,Not Completed,Needs Support
LRN00145,Female,20,Undergraduate,Business,Instructor-led,Upper Egypt,Mobile,9.1,24 videos,3,81,85.9,90,74.25657448,High,Completed,Very Good
LRN00146,Female,16,Undergraduate,AI Fundamentals,Self-paced,Upper Egypt,Laptop,6.3,21 videos,2,60.9,73.9,50.6,55.35665314,Medium,Not Completed,Good
LRN00147,Male,36,Professional,Programming,Instructor-led,Giza,Laptop,3.8,3 videos,4,34.3,65.1,38.5,41.81605084,Low,Not Completed,Needs Support
LRN00148,Female,20,Graduate,Design,Self-paced,Upper Egypt,Laptop,5.2,11 videos,1,44.1,69.6,38.8,43.07521302,Low,Not Completed,Needs Support
LRN00149,Male,16,Graduate,Business,Blended,Cairo,Tablet,7.9,17 videos,4,54.7,74.3,58.5,62.39607068,Medium,Completed,Good
LRN00150,Male,30,Professional,AI Fundamentals,Self-paced,Cairo,Mobile,7.5,32 videos,2,83.1,67.5,76.7,69.45214409,High,Completed,Very Good
LRN00151,Male,32,Undergraduate,Data Analysis,Blended,Delta,Laptop,4.6,17 videos,3,36,75.5,37.4,48.85635384,Low,Not Completed,Needs Support
LRN00152,Male,24,High School,Programming,Self-paced,Delta,Mobile,3.5,16 videos,1,70.6,65.4,60.9,56.73287345,Medium,Not Completed,Good
LRN00153,Female,20,Professional,Data Analysis,Self-paced,Giza,Mobile,3.4,15 videos,1,46.8,58.6,32.5,36.3390111,Low,Not Completed,Needs Support
LRN00154,Female,16,Graduate,Data Analysis,Instructor-led,Delta,Laptop,12.5,27 videos,3,85.9,100,100,88.995966,High,Completed,Excellent
LRN00155,Female,18,Undergraduate,Business,Blended,Giza,Laptop,12.8,27 videos,6,83,100,91.6,84.95551236,High,Completed,Excellent
LRN00156,Female,31,High School,Programming,Blended,Alexandria,Mobile,1.6,15 videos,8,72.1,68.5,57.2,64.73134547,Medium,Completed,Good
LRN00157,Female,17,Professional,Data Analysis,Instructor-led,Giza,Mobile,5.1,18 videos,3,54.8,65.5,62.9,46.81854451,Medium,Not Completed,Needs Support
LRN00158,Female,36,Graduate,AI Fundamentals,Blended,Cairo,Mobile,3,18 videos,5,61.2,48.1,54.2,41.75852306,Medium,Not Completed,Needs Support
LRN00159,Male,43,Graduate,AI Fundamentals,Instructor-led,Delta,Laptop,6.1,20 videos,3,63.9,79.4,63.1,53.33177721,Medium,Not Completed,Good
LRN00160,Female,31,High School,Business,Instructor-led,Alexandria,Laptop,5.6,20 videos,4,64,49.7,70.4,50.86490104,Medium,Not Completed,Good
LRN00161,Female,28,Graduate,Programming,Instructor-led,Giza,Mobile,8.1,23 videos,5,97.9,98.9,92.7,75.40550316,High,Completed,Very Good
LRN00162,Male,16,High School,Business,Self-paced,Delta,Tablet,3.6,14 videos,7,77,60.8,56,60.53750818,Medium,Completed,Good
LRN00163,Male,19,Undergraduate,Data Analysis,Instructor-led,Delta,Mobile,7.9,30 videos,1,78.6,89.6,83.2,79.43118654,High,Completed,Very Good
LRN00164,Male,20,Undergraduate,Design,Self-paced,Cairo,Mobile,6.8,21 videos,2,79.1,89.8,71.6,70.16684011,High,Completed,Very Good
LRN00165,Female,16,High School,AI Fundamentals,Blended,Cairo,Mobile,4.5,23 videos,3,62.9,94,78.4,62.83639106,High,Completed,Good
LRN00166,Male,29,Undergraduate,Business,Instructor-led,Alexandria,Laptop,7.9,16 videos,5,71.6,80.1,71.9,59.01448726,Medium,Not Completed,Good
LRN00167,Male,48,High School,Data Analysis,Self-paced,Cairo,Tablet,3.1,18 videos,3,69.4,76.4,50.9,53.23067693,Medium,Not Completed,Good
LRN00168,Female,28,Undergraduate,Design,Blended,Cairo,Laptop,9.5,31 videos,4,54.5,65,67,60.50185686,High,Completed,Good
LRN00169,Female,24,Graduate,Data Analysis,Blended,Cairo,Mobile,5.1,16 videos,5,50.7,79.7,61.1,52.93473655,Medium,Not Completed,Good
LRN00170,Female,26,Undergraduate,Design,Blended,Giza,Laptop,8.1,22 videos,6,90.4,79.6,73.6,81.20288088,High,Completed,Excellent
LRN00171,Female,21,Undergraduate,Design,Instructor-led,Giza,Mobile,4.8,19 videos,2,54.5,62.3,72.1,61.1434772,Medium,Completed,Good
LRN00172,Female,31,Graduate,Data Analysis,Self-paced,Cairo,Laptop,9.5,31 videos,2,74.6,98.7,79.2,76.63911972,High,Completed,Very Good
LRN00173,Male,21,Undergraduate,Programming,Instructor-led,Alexandria,Laptop,8.9,21 videos,3,65.6,87.6,78.4,67.55065872,High,Completed,Very Good
LRN00174,Female,27,Professional,Design,Blended,Giza,Laptop,7.9,27 videos,4,69.7,75.7,66.3,60.6540205,Medium,Completed,Good
LRN00175,Female,27,Graduate,AI Fundamentals,Instructor-led,Cairo,Laptop,7.7,21 videos,6,55.9,58.3,68.7,62.2718838,Medium,Completed,Good
LRN00176,Female,27,Undergraduate,Design,Self-paced,Delta,Mobile,6.9,17 videos,1,77.1,81.7,76.4,65.38652334,High,Completed,Very Good
LRN00177,Female,23,High School,Programming,Self-paced,Cairo,Mobile,3.9,25 videos,2,89.4,86.5,77.5,75.91684476,High,Completed,Very Good
